,YEAR,QUARTER,AIRLINE NAME,WEEK,ORIGIN,DEST,DEP_TIME,AIR_TIME,FLIGHTS,DISTANCE
553190,2019,1,UZBEKISTAN AIRWAYS,7,Akron,Newark  ,,,1,382
553191,2019,1,VIRGIN ATLANTIC AIRLINES,7,Akron,Newark  ,859,61,1,382
555849,2019,1,YEMENIA AIRWAYS,2,Akron,Newark  ,556,57,1,382
555850,2019,1,AIR INDIA,3,Akron,Newark  ,909,52,1,382
555851,2019,1,AIR INDIA EXPRESS,4,Akron,Newark  ,552,62,1,382
555852,2019,1,INDIGO,5,Akron,Newark  ,555,60,1,382
555853,2019,1,JET AIRWAYS,6,Akron,Newark  ,550,65,1,382
555854,2019,1,SPICEJET,1,Akron,Newark  ,544,57,1,382
555855,2019,1,AEROFLOT,2,Akron,Newark  ,551,57,1,382
555856,2019,1,AEROLOGIC,3,Akron,Newark  ,549,67,1,382
555857,2019,1,AIR ARABIA,4,Akron,Newark  ,555,62,1,382
555858,2019,1,AIR ASIA BERHAD,5,Akron,Newark  ,557,62,1,382
555859,2019,1,AIR AUSTRAL,6,Akron,Newark  ,546,64,1,382
555860,2019,1,AIR CHINA,1,Akron,Newark  ,559,71,1,382
555861,2019,1,AIR FRANCE,2,Akron,Newark  ,551,63,1,382
555862,2019,1,AIR MANAS,3,Akron,Newark  ,558,69,1,382
555863,2019,1,AIR MAURITIUS,4,Akron,Newark  ,551,67,1,382
555864,2019,1,AIR ASTANA,5,Akron,Newark  ,559,61,1,382
555865,2019,1,AIR SEYCHELLES,6,Akron,Newark  ,,,1,382
555866,2019,1,ALL NIPPON AIRWAYS,1,Akron,Newark  ,607,65,1,382
555867,2019,1,ARIANA AFGHAN,2,Akron,Newark  ,,,1,382
555868,2019,1,ASIANA AIRLINES,3,Akron,Newark  ,550,62,1,382
555869,2019,1,AUSTRIAN AIRLINES,4,Akron,Newark  ,555,66,1,382
555870,2019,1,BANGKOK AIRWAYS,5,Akron,Newark  ,600,59,1,382
555871,2019,1,BHUTAN AIRLINES,6,Akron,Newark  ,550,62,1,382
555872,2019,1,BIMAN BANGLADESH,1,Akron,Newark  ,557,63,1,382
555873,2019,1,BRITISH AIRWAYS,2,Akron,Newark  ,,,1,382
555874,2019,1,BUDHHA AIR,3,Akron,Newark  ,557,59,1,382
555875,2019,1,CATHAY PACIFIC,4,Akron,Newark  ,552,66,1,382
556648,2019,1,CHINA AIRLINES LTD,3,Akron,Newark  ,1854,61,1,382
556649,2019,1,CHINA EASTERN AIRLINES,4,Akron,Newark  ,1840,61,1,382
556650,2019,1,CHINA SOUTHERN ,5,Akron,Newark  ,1903,71,1,382
556651,2019,1,DRAGON AIR,6,Akron,Newark  ,1902,68,1,382
556652,2019,1,DRUK AIR,7,Akron,Newark  ,1836,59,1,382
556653,2019,1,EGYPT AIR,1,Akron,Newark  ,1741,64,1,382
556654,2019,1,EL-AL-ISRAEL,2,Akron,Newark  ,2032,63,1,382
556655,2019,1,EMIRATES AIRLINE,3,Akron,Newark  ,1744,87,1,382
556656,2019,1,ETHIOPIAN AIRLINES,4,Akron,Newark  ,2032,68,1,382
556657,2019,1,ETIHAD AIRLINES,5,Akron,Newark  ,1827,61,1,382
556658,2019,1,EVA AIRWAYS,1,Akron,Newark  ,1734,63,1,382
556659,2019,1,FEDERAL EXPRESS,2,Akron,Newark  ,1808,61,1,382
556660,2019,1,FINN AIR,3,Akron,Newark  ,1803,86,1,382
556661,2019,1,FLY DUBAI,4,Akron,Newark  ,1805,61,1,382
556662,2019,1,GULF AIR,5,Akron,Newark  ,1843,58,1,382
556663,2019,1,IRAN AIR,1,Akron,Newark  ,,,1,382
556664,2019,1,IRAQI AIRWAYS,2,Akron,Newark  ,1827,69,1,382
556665,2019,1,ISLAND AVIATION SERVICES,3,Akron,Newark  ,1825,58,1,382
556666,2019,1,JAPAN AIRLINES,4,Akron,Newark  ,,,1,382
556667,2019,1,KALITTA AIR,5,Akron,Newark  ,1849,68,1,382
556668,2019,1,KAM AIR,1,Akron,Newark  ,1745,63,1,382
556669,2019,1,KENYA AIRWAYS,2,Akron,Newark  ,1024,61,1,382
556670,2019,1,KLM AIRLINES,3,Akron,Newark  ,2029,64,1,382
556671,2019,1,KOREAN AIR,4,Akron,Newark  ,1815,64,1,382
470901,2019,1,KUWAIT AIRWAYS,2,Akron,Orlando  ,1932,117,1,861
470902,2019,1,LUFTHANSA,3,Akron,Orlando  ,1942,116,1,861
470903,2019,1,MAHAN AIR,4,Akron,Orlando  ,1946,115,1,861
470904,2019,1,MALAYSIA AIRLINES,5,Akron,Orlando  ,1930,129,1,861
470905,2019,1,MALINDO AIRWAYS,6,Akron,Orlando  ,1946,109,1,861
470906,2019,1,MIHIN LANKA,7,Akron,Orlando  ,1934,105,1,861
470907,2019,1,MYANMAR AIRLINES,1,Akron,Orlando  ,1934,115,1,861
470908,2019,1,NEPAL AIRLINES CORPORATION,2,Akron,Orlando  ,1933,116,1,861
470909,2019,1,OMAN AIR,3,Akron,Orlando  ,2049,103,1,861
470910,2019,1,PAK INTERNATIONAL,4,Akron,Orlando  ,1944,107,1,861
470911,2019,1,QATAR AIRWATYS,5,Akron,Orlando  ,1949,111,1,861
470912,2019,1,REGENT AIRWAYS,6,Akron,Orlando  ,1944,118,1,861
470913,2019,1,SAFI AIRWAYS,7,Akron,Orlando  ,1940,113,1,861
470914,2019,1,SAUDIA,1,Akron,Orlando  ,1944,108,1,861
470915,2019,1,SILK AIR,4,Akron,Orlando  ,1936,110,1,861
470916,2019,1,SINGAPORE AIRLINES,5,Akron,Orlando  ,1947,111,1,861
470917,2019,1,SRILNKAN AIRWAYS,6,Akron,Orlando  ,,,1,861
470918,2019,1,SWISS AIR,7,Akron,Orlando  ,1954,115,1,861
470919,2019,1,TAJIK AIR,1,Akron,Orlando  ,1958,108,1,861
470920,2019,1,THAI AIRWAYS,4,Akron,Orlando  ,2117,132,1,861
470921,2019,1,TIGER AIRWAYS,5,Akron,Orlando  ,1937,122,1,861
470922,2019,1,TRANSAERO AIRLINES,6,Akron,Orlando  ,1943,122,1,861
470923,2019,1,TURKISH AIRLINES,7,Akron,Orlando  ,1956,141,1,861
470924,2019,1,TURKMENISTAN AIRLINES,1,Akron,Orlando  ,1937,123,1,861
470925,2019,1,UNITED AIRLINES,4,Akron,Orlando  ,2058,114,1,861
203108,2019,1,UNITED AIRLINES BANGLADESH LTD.,2,Akron,Philadelphia  ,800,56,1,335
203109,2019,1,UNITED PARCEL SERVICES,3,Akron,Philadelphia  ,754,53,1,335
203110,2019,1,UZBEKISTAN AIRWAYS,4,Akron,Philadelphia  ,756,57,1,335
203111,2019,1,VIRGIN ATLANTIC AIRLINES,5,Akron,Philadelphia  ,752,52,1,335
203112,2019,1,YEMENIA AIRWAYS,6,Akron,Philadelphia  ,752,54,1,335
203113,2019,1,AIR INDIA,7,Akron,Philadelphia  ,753,61,1,335
203114,2019,1,AIR INDIA EXPRESS,1,Akron,Philadelphia  ,749,62,1,335
203115,2019,1,INDIGO,2,Akron,Philadelphia  ,754,59,1,335
203116,2019,1,JET AIRWAYS,3,Akron,Philadelphia  ,851,50,1,335
203117,2019,1,SPICEJET,4,Akron,Philadelphia  ,753,63,1,335
203118,2019,1,AEROFLOT,5,Akron,Philadelphia  ,749,64,1,335
203119,2019,1,AEROLOGIC,6,Akron,Philadelphia  ,751,73,1,335
203120,2019,1,AIR ARABIA,7,Akron,Philadelphia  ,751,49,1,335
203121,2019,1,AIR ASIA BERHAD,1,Akron,Philadelphia  ,746,51,1,335
203122,2019,1,AIR AUSTRAL,2,Akron,Philadelphia  ,751,46,1,335
203123,2019,1,AIR CHINA,3,Akron,Philadelphia  ,805,55,1,335
203124,2019,1,AIR FRANCE,4,Akron,Philadelphia  ,750,58,1,335
203125,2019,1,AIR MANAS,5,Akron,Philadelphia  ,755,48,1,335
469212,2019,1,AIR MAURITIUS,2,Akron,Tampa  ,627,129,1,894
469213,2019,1,AIR ASTANA,4,Akron,Tampa  ,634,127,1,894
469214,2019,1,AIR SEYCHELLES,7,Akron,Tampa  ,618,112,1,894
469215,2019,1,ALL NIPPON AIRWAYS,2,Akron,Tampa  ,620,119,1,894
469216,2019,1,ARIANA AFGHAN,4,Akron,Tampa  ,625,113,1,894
469217,2019,1,ASIANA AIRLINES,7,Akron,Tampa  ,620,117,1,894
469218,2019,1,AUSTRIAN AIRLINES,4,Akron,Tampa  ,623,122,1,894
469219,2019,1,BANGKOK AIRWAYS,7,Akron,Tampa  ,,,1,894
469220,2019,1,BHUTAN AIRLINES,4,Akron,Tampa  ,724,148,1,894
469221,2019,1,BIMAN BANGLADESH,7,Akron,Tampa  ,628,140,1,894
469222,2019,1,BRITISH AIRWAYS,4,Akron,Tampa  ,940,128,1,894
206815,2019,1,BUDHHA AIR,2,Akron,Washington  ,1044,47,1,274
208202,2019,1,CATHAY PACIFIC,3,Akron,Washington  ,758,45,1,274
208203,2019,1,CHINA AIRLINES LTD,4,Akron,Washington  ,540,66,1,274
208204,2019,1,CHINA EASTERN AIRLINES,5,Akron,Washington  ,532,53,1,274
208205,2019,1,CHINA SOUTHERN ,7,Akron,Washington  ,620,48,1,274
208206,2019,1,DRAGON AIR,1,Akron,Washington  ,537,43,1,274
208207,2019,1,DRUK AIR,2,Akron,Washington  ,535,42,1,274
208208,2019,1,EGYPT AIR,3,Akron,Washington  ,535,50,1,274
208209,2019,1,EL-AL-ISRAEL,4,Akron,Washington  ,543,52,1,274
208210,2019,1,EMIRATES AIRLINE,5,Akron,Washington  ,553,46,1,274
208211,2019,1,ETHIOPIAN AIRLINES,7,Akron,Washington  ,1107,56,1,274
208212,2019,1,ETIHAD AIRLINES,1,Akron,Washington  ,546,58,1,274
208213,2019,1,EVA AIRWAYS,2,Akron,Washington  ,601,49,1,274
208214,2019,1,FEDERAL EXPRESS,3,Akron,Washington  ,535,44,1,274
209795,2019,1,FINN AIR,6,Akron,Washington  ,751,50,1,274
229604,2019,1,FLY DUBAI,6,Albany,Atlanta ,1450,39,1,145
229624,2019,1,GULF AIR,6,Albany,Atlanta ,633,41,1,145
231581,2019,1,IRAN AIR,7,Albany,Atlanta ,1148,35,1,145
231585,2019,1,IRAQI AIRWAYS,7,Albany,Atlanta ,1651,40,1,145
231609,2019,1,ISLAND AVIATION SERVICES,7,Albany,Atlanta ,622,33,1,145
233763,2019,1,JAPAN AIRLINES,1,Albany,Atlanta ,1151,34,1,145
233768,2019,1,KALITTA AIR,1,Albany,Atlanta ,1653,31,1,145
233798,2019,1,KAM AIR,1,Albany,Atlanta ,624,45,1,145
235922,2019,1,KENYA AIRWAYS,2,Albany,Atlanta ,1215,38,1,145
235927,2019,1,KLM AIRLINES,2,Albany,Atlanta ,1650,36,1,145
235957,2019,1,KOREAN AIR,2,Albany,Atlanta ,624,37,1,145
237696,2019,1,KUWAIT AIRWAYS,3,Albany,Atlanta ,1148,46,1,145
237701,2019,1,LUFTHANSA,3,Albany,Atlanta ,1658,43,1,145
237731,2019,1,MAHAN AIR,3,Albany,Atlanta ,628,42,1,145
239306,2019,1,MALAYSIA AIRLINES,6,Albany,Atlanta ,1455,44,1,145
239325,2019,1,MALINDO AIRWAYS,6,Albany,Atlanta ,625,,1,145
241186,2019,1,MIHIN LANKA,7,Albany,Atlanta ,1155,132,1,145
241190,2019,1,MYANMAR AIRLINES,7,Albany,Atlanta ,1655,140,1,145
241214,2019,1,NEPAL AIRLINES CORPORATION,7,Albany,Atlanta ,622,118,1,145
243351,2019,1,OMAN AIR,1,Albany,Atlanta ,1207,121,1,145
243356,2019,1,PAK INTERNATIONAL,1,Albany,Atlanta ,1650,135,1,145
243386,2019,1,QATAR AIRWATYS,1,Albany,Atlanta ,625,137,1,145
245546,2019,1,REGENT AIRWAYS,2,Albany,Atlanta ,1222,131,1,145
245551,2019,1,SAFI AIRWAYS,2,Albany,Atlanta ,1651,134,1,145
245581,2019,1,SAUDIA,2,Albany,Atlanta ,622,141,1,145
248567,2019,1,SILK AIR,4,Albany,Atlanta ,1151,124,1,145
248572,2019,1,SINGAPORE AIRLINES,4,Albany,Atlanta ,1654,146,1,145
248602,2019,1,SRILNKAN AIRWAYS,4,Albany,Atlanta ,629,142,1,145
250473,2019,1,SWISS AIR,5,Albany,Atlanta ,1447,149,1,145
250477,2019,1,TAJIK AIR,5,Albany,Atlanta ,620,139,1,145
252429,2019,1,THAI AIRWAYS,3,Albany,Atlanta ,1144,127,1,145
252434,2019,1,TIGER AIRWAYS,3,Albany,Atlanta ,1655,123,1,145
252464,2019,1,TRANSAERO AIRLINES,3,Albany,Atlanta ,621,125,1,145
254647,2019,1,TURKISH AIRLINES,4,Albany,Atlanta ,1150,126,1,145
254652,2019,1,TURKMENISTAN AIRLINES,4,Albany,Atlanta ,1701,162,1,145
254682,2019,1,UNITED AIRLINES,4,Albany,Atlanta ,629,153,1,145
256884,2019,1,UNITED AIRLINES BANGLADESH LTD.,5,Albany,Atlanta ,1204,143,1,145
256889,2019,1,UNITED PARCEL SERVICES,5,Albany,Atlanta ,1805,122,1,145
256919,2019,1,UZBEKISTAN AIRWAYS,5,Albany,Atlanta ,629,144,1,145
258813,2019,1,VIRGIN ATLANTIC AIRLINES,6,Albany,Atlanta ,1448,130,1,145
258828,2019,1,YEMENIA AIRWAYS,6,Albany,Atlanta ,628,133,1,145
261139,2019,1,AIR INDIA,3,Albany,Atlanta ,1143,148,1,145
261144,2019,1,AIR INDIA EXPRESS,3,Albany,Atlanta ,1654,150,1,145
261174,2019,1,INDIGO,3,Albany,Atlanta ,623,156,1,145
471436,2019,1,JET AIRWAYS,7,Albany,Atlanta ,1250,145,1,145
471451,2019,1,SPICEJET,7,Albany,Atlanta ,629,147,1,145
473411,2019,1,AEROFLOT,1,Albany,Atlanta ,1144,114,1,145
473414,2019,1,AEROLOGIC,1,Albany,Atlanta ,1647,115,1,145
473442,2019,1,AIR ARABIA,1,Albany,Atlanta ,626,128,1,145
475576,2019,1,AIR ASIA BERHAD,2,Albany,Atlanta ,1145,136,1,145
475581,2019,1,AIR ASTANA,2,Albany,Atlanta ,1658,129,1,145
475611,2019,1,AIR AUSTRAL,2,Albany,Atlanta ,629,120,1,145
477749,2019,1,AIR CHINA,3,Albany,Atlanta ,1342,170,1,145
59017,2019,1,AIR FRANCE,4,Albany,Baltimore  ,1258,53,1,289
59018,2019,1,AIR MANAS,4,Albany,Baltimore  ,707,50,1,289
59019,2019,1,AIR MAURITIUS,4,Albany,Baltimore  ,547,58,1,289
59020,2019,1,AIR SEYCHELLES,4,Albany,Baltimore  ,1638,52,1,289
59021,2019,1,ALL NIPPON AIRWAYS,4,Albany,Baltimore  ,1052,56,1,289
62732,2019,1,ARIANA AFGHAN,5,Albany,Baltimore  ,1309,54,1,289
62733,2019,1,ASIANA AIRLINES,5,Albany,Baltimore  ,704,57,1,289
62734,2019,1,AUSTRIAN AIRLINES,5,Albany,Baltimore  ,544,60,1,289
62735,2019,1,BANGKOK AIRWAYS,5,Albany,Baltimore  ,1639,59,1,289
62736,2019,1,BHUTAN AIRLINES,5,Albany,Baltimore  ,1050,61,1,289
64830,2019,1,BIMAN BANGLADESH,5,Albany,Baltimore  ,1319,62,1,289
64831,2019,1,BRITISH AIRWAYS,5,Albany,Baltimore  ,708,63,1,289
64832,2019,1,BUDHHA AIR,5,Albany,Baltimore  ,548,,1,289
64833,2019,1,CATHAY PACIFIC,5,Albany,Baltimore  ,1642,64,1,289
64834,2019,1,CHINA AIRLINES LTD,5,Albany,Baltimore  ,1044,55,1,289
68538,2019,1,CHINA EASTERN AIRLINES,6,Albany,Baltimore  ,533,51,1,289
68539,2019,1,CHINA SOUTHERN ,6,Albany,Baltimore  ,825,66,1,289
68540,2019,1,DRAGON AIR,6,Albany,Baltimore  ,1048,65,1,289
68541,2019,1,DRUK AIR,6,Albany,Baltimore  ,1642,69,1,289
25688,2019,1,EGYPT AIR,2,Albany,Charlotte ,1200,118,1,646
25689,2019,1,EL-AL-ISRAEL,3,Albany,Charlotte ,1324,121,1,646
25690,2019,1,EMIRATES AIRLINE,4,Albany,Charlotte ,1158,120,1,646
25691,2019,1,ETHIOPIAN AIRLINES,5,Albany,Charlotte ,1156,119,1,646
84509,2019,1,ETIHAD AIRLINES,2,Albany,Charlotte ,722,113,1,646
84510,2019,1,EVA AIRWAYS,3,Albany,Charlotte ,718,122,1,646
84511,2019,1,FEDERAL EXPRESS,4,Albany,Charlotte ,719,105,1,646
84512,2019,1,FINN AIR,5,Albany,Charlotte ,721,100,1,646
84513,2019,1,FLY DUBAI,6,Albany,Charlotte ,729,97,1,646
84514,2019,1,GULF AIR,7,Albany,Charlotte ,728,98,1,646
84515,2019,1,IRAN AIR,1,Albany,Charlotte ,733,116,1,646
84516,2019,1,IRAQI AIRWAYS,2,Albany,Charlotte ,730,109,1,646
84517,2019,1,ISLAND AVIATION SERVICES,3,Albany,Charlotte ,731,99,1,646
84518,2019,1,JAPAN AIRLINES,4,Albany,Charlotte ,727,101,1,646
84519,2019,1,KALITTA AIR,5,Albany,Charlotte ,736,107,1,646
84520,2019,1,KAM AIR,6,Albany,Charlotte ,720,102,1,646
84521,2019,1,KENYA AIRWAYS,7,Albany,Charlotte ,733,111,1,646
84522,2019,1,KLM AIRLINES,1,Albany,Charlotte ,731,112,1,646
84523,2019,1,KOREAN AIR,2,Albany,Charlotte ,736,,1,646
84524,2019,1,KUWAIT AIRWAYS,3,Albany,Charlotte ,730,104,1,646
84525,2019,1,LUFTHANSA,4,Albany,Charlotte ,731,125,1,646
84526,2019,1,MAHAN AIR,5,Albany,Charlotte ,726,115,1,646
84527,2019,1,MALAYSIA AIRLINES,6,Albany,Charlotte ,717,123,1,646
84528,2019,1,MALINDO AIRWAYS,7,Albany,Charlotte ,,110,1,646
84529,2019,1,MIHIN LANKA,1,Albany,Charlotte ,,126,1,646
84530,2019,1,MYANMAR AIRLINES,2,Albany,Charlotte ,734,117,1,646
84531,2019,1,NEPAL AIRLINES CORPORATION,3,Albany,Charlotte ,733,114,1,646
84532,2019,1,OMAN AIR,4,Albany,Charlotte ,727,106,1,646
84533,2019,1,PAK INTERNATIONAL,5,Albany,Charlotte ,727,108,1,646
84534,2019,1,QATAR AIRWATYS,6,Albany,Charlotte ,720,103,1,646
84535,2019,1,REGENT AIRWAYS,7,Albany,Charlotte ,727,124,1,646
46598,2019,1,SAFI AIRWAYS,3,Albany,Chicago  ,710,133,1,723
46599,2019,1,SAUDIA,4,Albany,Chicago  ,658,124,1,723
46600,2019,1,SILK AIR,5,Albany,Chicago  ,657,110,1,723
46601,2019,1,SINGAPORE AIRLINES,6,Albany,Chicago  ,657,105,1,723
46602,2019,1,SRILNKAN AIRWAYS,7,Albany,Chicago  ,654,123,1,723
46603,2019,1,SWISS AIR,1,Albany,Chicago  ,700,129,1,723
46604,2019,1,TAJIK AIR,2,Albany,Chicago  ,653,109,1,723
46605,2019,1,THAI AIR ASIA,3,Albany,Chicago  ,654,120,1,723
46606,2019,1,THAI AIRWAYS,4,Albany,Chicago  ,656,126,1,723
46607,2019,1,TIGER AIRWAYS,5,Albany,Chicago  ,655,108,1,723
46608,2019,1,TRANSAERO AIRLINES,6,Albany,Chicago  ,653,106,1,723
46609,2019,1,TURKISH AIRLINES,7,Albany,Chicago  ,659,122,1,723
46610,2019,1,TURKMENISTAN AIRLINES,1,Albany,Chicago  ,656,,1,723
46611,2019,1,UNITED AIRLINES,2,Albany,Chicago  ,659,137,1,723
46612,2019,1,UNITED AIRLINES BANGLADESH LTD.,3,Albany,Chicago  ,656,115,1,723
46613,2019,1,UNITED PARCEL SERVICES,4,Albany,Chicago  ,710,116,1,723
46614,2019,1,UZBEKISTAN AIRWAYS,5,Albany,Chicago  ,652,119,1,723
46615,2019,1,VIRGIN ATLANTIC AIRLINES,6,Albany,Chicago  ,,112,1,723
46616,2019,1,YEMENIA AIRWAYS,7,Albany,Chicago  ,,139,1,723
46617,2019,1,AIR INDIA,2,Albany,Chicago  ,658,134,1,723
46618,2019,1,AIR INDIA EXPRESS,3,Albany,Chicago  ,729,114,1,723
46619,2019,1,INDIGO,4,Albany,Chicago  ,717,117,1,723
46620,2019,1,JET AIRWAYS,5,Albany,Chicago  ,650,127,1,723
46621,2019,1,SPICEJET,6,Albany,Chicago  ,657,130,1,723
46622,2019,1,AEROFLOT,7,Albany,Chicago  ,653,121,1,723
46623,2019,1,AEROLOGIC,1,Albany,Chicago  ,,111,1,723
46624,2019,1,AIR ARABIA,2,Albany,Chicago  ,736,118,1,723
46625,2019,1,AIR ASIA BERHAD,3,Albany,Chicago  ,,138,1,723
46626,2019,1,AIR ASTANA,4,Albany,Chicago  ,,128,1,723
56021,2019,1,AIR AUSTRAL,2,Albany,Chicago  ,1257,113,1,723
56022,2019,1,AIR CHINA,3,Albany,Chicago  ,1320,107,1,723
56023,2019,1,AIR FRANCE,4,Albany,Chicago  ,1330,131,1,723
56024,2019,1,AIR MANAS,5,Albany,Chicago  ,1236,125,1,723
56025,2019,1,AIR MAURITIUS,6,Albany,Chicago  ,1242,103,1,723
56026,2019,1,AIR SEYCHELLES,7,Albany,Chicago  ,1324,146,1,723
56027,2019,1,ALL NIPPON AIRWAYS,1,Albany,Chicago  ,1254,132,1,723
56028,2019,1,ARIANA AFGHAN,4,Albany,Chicago  ,1240,135,1,723
56029,2019,1,ASIANA AIRLINES,5,Albany,Chicago  ,1238,104,1,723
56030,2019,1,AUSTRIAN AIRLINES,7,Albany,Chicago  ,1242,99,1,723
56031,2019,1,BANGKOK AIRWAYS,1,Albany,Chicago  ,1241,141,1,723
56032,2019,1,BHUTAN AIRLINES,4,Albany,Chicago  ,1248,136,1,723
56033,2019,1,BIMAN BANGLADESH,5,Albany,Chicago  ,1314,154,1,723
136057,2019,1,BRITISH AIRWAYS,2,Albany,Denver  ,1854,269,1,1610
139938,2019,1,BUDHHA AIR,3,Albany,Denver  ,1219,261,1,1610
407742,2019,1,CATHAY PACIFIC,7,Albany,Denver  ,1035,240,1,1610
233780,2019,1,CHINA AIRLINES LTD,1,Albany,Detroit  ,1053,85,1,489
235939,2019,1,CHINA EASTERN AIRLINES,2,Albany,Detroit  ,935,88,1,489
237713,2019,1,CHINA SOUTHERN ,3,Albany,Detroit  ,937,78,1,489
243368,2019,1,DRAGON AIR,1,Albany,Detroit  ,937,73,1,489
245563,2019,1,DRUK AIR,2,Albany,Detroit  ,932,81,1,489
248584,2019,1,EGYPT AIR,4,Albany,Detroit  ,931,84,1,489
250505,2019,1,EL-AL-ISRAEL,5,Albany,Detroit  ,1234,90,1,489
252446,2019,1,EMIRATES AIRLINE,3,Albany,Detroit  ,954,86,1,489
254664,2019,1,ETHIOPIAN AIRLINES,4,Albany,Detroit  ,932,82,1,489
256901,2019,1,ETIHAD AIRLINES,5,Albany,Detroit  ,931,83,1,489
261156,2019,1,EVA AIRWAYS,3,Albany,Detroit  ,939,75,1,489
381494,2019,1,FEDERAL EXPRESS,7,Albany,Detroit  ,1218,,1,489
381495,2019,1,FINN AIR,7,Albany,Detroit  ,1220,89,1,489
381496,2019,1,FLY DUBAI,7,Albany,Detroit  ,,92,1,489
381497,2019,1,GULF AIR,7,Albany,Detroit  ,1241,76,1,489
389773,2019,1,IRAN AIR,1,Albany,Detroit  ,536,77,1,489
389774,2019,1,IRAQI AIRWAYS,2,Albany,Detroit  ,539,79,1,489
389775,2019,1,ISLAND AVIATION SERVICES,3,Albany,Detroit  ,532,98,1,489
389776,2019,1,JAPAN AIRLINES,4,Albany,Detroit  ,535,91,1,489
389777,2019,1,KALITTA AIR,5,Albany,Detroit  ,717,80,1,489
389778,2019,1,KAM AIR,6,Albany,Detroit  ,533,111,1,489
389779,2019,1,KENYA AIRWAYS,1,Albany,Detroit  ,534,100,1,489
499592,2019,1,KLM AIRLINES,5,Albany,Detroit  ,932,81,1,489
59022,2019,1,KOREAN AIR,4,Albany,Fort Lauderdale  ,739,154,1,1204
62737,2019,1,KUWAIT AIRWAYS,5,Albany,Fort Lauderdale  ,736,150,1,1204
64835,2019,1,LUFTHANSA,5,Albany,Fort Lauderdale  ,740,161,1,1204
68542,2019,1,MAHAN AIR,6,Albany,Fort Lauderdale  ,1020,177,1,1204
136058,2019,1,MALAYSIA AIRLINES,2,Albany,Fort Lauderdale  ,747,184,1,1204
145678,2019,1,MALINDO AIRWAYS,7,Albany,Fort Lauderdale  ,,,1,1204
147772,2019,1,MIHIN LANKA,7,Albany,Fort Lauderdale  ,729,204,1,1204
151162,2019,1,MYANMAR AIRLINES,1,Albany,Fort Lauderdale  ,739,187,1,1204
153623,2019,1,NEPAL AIRLINES CORPORATION,4,Albany,Fort Lauderdale  ,710,181,1,1204
157343,2019,1,OMAN AIR,5,Albany,Fort Lauderdale  ,721,200,1,1204
158708,2019,1,PAK INTERNATIONAL,1,Albany,Fort Lauderdale  ,,203,1,1204
162423,2019,1,QATAR AIRWATYS,2,Albany,Fort Lauderdale  ,757,190,1,1204
164532,2019,1,REGENT AIRWAYS,2,Albany,Fort Lauderdale  ,744,185,1,1204
168240,2019,1,SAFI AIRWAYS,3,Albany,Fort Lauderdale  ,737,168,1,1204
170846,2019,1,SAUDIA,6,Albany,Fort Lauderdale  ,657,198,1,1204
175902,2019,1,SILK AIR,3,Albany,Fort Lauderdale  ,739,191,1,1204
179612,2019,1,SINGAPORE AIRLINES,4,Albany,Fort Lauderdale  ,739,164,1,1204
181593,2019,1,SRILNKAN AIRWAYS,4,Albany,Fort Lauderdale  ,821,208,1,1204
184575,2019,1,SWISS AIR,4,Albany,Fort Lauderdale  ,738,266,1,1204
190326,2019,1,TAJIK AIR,5,Albany,Fort Lauderdale  ,735,186,1,1204
194041,2019,1,THAI AIR ASIA,6,Albany,Fort Lauderdale  ,1016,199,1,1204
211361,2019,1,THAI AIRWAYS,7,Albany,Fort Lauderdale  ,1624,169,1,1204
212142,2019,1,TIGER AIRWAYS,1,Albany,Fort Lauderdale  ,1653,170,1,1204
212950,2019,1,TRANSAERO AIRLINES,2,Albany,Fort Lauderdale  ,1624,182,1,1204
213731,2019,1,TURKISH AIRLINES,3,Albany,Fort Lauderdale  ,1625,138,1,1204
214320,2019,1,TURKMENISTAN AIRLINES,2,Albany,Fort Lauderdale  ,1814,159,1,1204
215169,2019,1,UNITED AIRLINES,3,Albany,Fort Lauderdale  ,1625,160,1,1204
216019,2019,1,UNITED AIRLINES BANGLADESH LTD.,4,Albany,Fort Lauderdale  ,1633,147,1,1204
216872,2019,1,UNITED PARCEL SERVICES,5,Albany,Fort Lauderdale  ,1744,183,1,1204
217716,2019,1,UZBEKISTAN AIRWAYS,6,Albany,Fort Lauderdale  ,1645,165,1,1204
218455,2019,1,VIRGIN ATLANTIC AIRLINES,7,Albany,Fort Lauderdale  ,1706,156,1,1204
219281,2019,1,YEMENIA AIRWAYS,1,Albany,Fort Lauderdale  ,1651,172,1,1204
220127,2019,1,AIR INDIA,2,Albany,Fort Lauderdale  ,1637,148,1,1204
220900,2019,1,AIR INDIA EXPRESS,3,Albany,Fort Lauderdale  ,1633,167,1,1204
221684,2019,1,INDIGO,4,Albany,Fort Lauderdale  ,1643,155,1,1204
222295,2019,1,JET AIRWAYS,4,Albany,Fort Lauderdale  ,1709,153,1,1204
397464,2019,1,SPICEJET,6,Albany,Fort Lauderdale  ,1018,176,1,1204
400391,2019,1,AEROFLOT,7,Albany,Fort Lauderdale  ,736,188,1,1204
68547,2019,1,AEROLOGIC,6,Albany,Fort Myers  ,1527,186,1,1205
194046,2019,1,AIR ARABIA,6,Albany,Fort Myers  ,1507,204,1,1205
329995,2019,1,AIR ASIA BERHAD,3,Albany,Fort Myers  ,1606,185,1,1205
